A57 B238
A247 B98
A266 B233
A285 B98
A302 B315
A307 B99
A308 B38
A400 B511
A503 B314
A553 B517
A607 B538
A615 B315
A647 B628
A702 B496
A712 B315
A871 B183
A900 B218
A1144 B501
A1162 B9
A1296 B608
A1430 B99
A1602 B371
A1730 B460
A1735 B544
A1814 B38
A1848 B252
A1849 B247
A1935 B483
A2098 B117
A2145 B315
A2152 B314
A2155 B311
A2208 B738
A2209 B258
A2211 B593
A2575 B495
A2578 B593
A2715 B299
A2727 B97
A2735 B268
A2770 B533
A2794 B38
A2795 B38
A2842 B314
A2870 B312
A2885 B9
A2944 B378
A3059 B608
A3115 B524
A3170 B38
A3172 B38
A3325 B608
A3327 B732
A3329 B608
A3333 B200
A3369 B285
A3384 B104
A3476 B314
A3509 B38
